Frequency_Hz,SPL_dB,BPF_Ratio
6906.667,-86.32934,29.600002
6918.3335,-69.13046,29.650002
6930.0,-90.31448,29.7
6941.667,-65.41638,29.750002
6953.3335,-60.61363,29.800001
6965.0,-58.941387,29.85
6976.667,-60.89136,29.900002
6988.3335,-66.07535,29.95
7000.0,-52.976387,30.0
7011.667,-68.24001,30.050001
7023.3335,-69.723595,30.100002
7035.0,-77.69868,30.150002
7046.667,-78.78252,30.200003
7058.3335,-76.367905,30.250002
7070.0,-77.374794,30.300001
7081.667,-79.63738,30.350002
7093.3335,-75.34647,30.400002
7105.0,-73.57379,30.45
7116.667,-78.64288,30.500002
7128.3335,-76.09536,30.550001
7140.0,-71.953064,30.6
7151.667,-75.08527,30.650002
7163.3335,-74.24931,30.7
7175.0,-72.80202,30.75
7186.667,-77.564995,30.800001
7198.3335,-71.262215,30.850002
7210.0,-80.96877,30.900002
7221.667,-71.01848,30.950003
7233.3335,-53.397068,31.000002
7245.0,-75.79102,31.050001
7256.667,-71.4216,31.100002
7268.3335,-74.88445,31.150002
7280.0,-77.569954,31.2
7291.667,-63.88028,31.250002
7303.3335,-61.17318,31.300001
7315.0,-78.60207,31.35
7326.667,-66.09584,31.400002
7338.3335,-74.28354,31.45
7350.0,-70.51779,31.5
7361.667,-78.39591,31.550001
7373.3335,-73.22853,31.600002
7385.0,-73.05006,31.650002
7396.667,-71.27544,31.700003
7408.3335,-73.47157,31.750002
7420.0,-72.643585,31.800001
7431.667,-74.12774,31.850002
7443.3335,-71.70654,31.900002
7455.0,-68.97101,31.95
7466.667,-56.250072,32.000004
7478.3335,-75.3532,32.050003
7490.0,-80.557144,32.100002
7501.667,-88.81592,32.15
7513.3335,-77.7505,32.2
7525.0,-80.9143,32.25
7536.667,-94.704704,32.300003
7548.3335,-83.97403,32.350002
7560.0,-86.605995,32.4
7571.667,-82.12892,32.45
7583.3335,-76.829796,32.5
7595.0,-92.36517,32.55
7606.667,-76.28552,32.600002
7618.3335,-80.32449,32.65
7630.0,-87.412575,32.7
7641.667,-84.028336,32.750004
7653.3335,-83.1904,32.800003
7665.0,-82.709236,32.850002
7676.667,-85.230446,32.9
7688.3335,-79.21281,32.95
7700.0,-57.55566,33.0
7711.667,-89.00295,33.050003
7723.3335,-78.23808,33.100002
7735.0,-82.35404,33.15
7746.667,-76.68761,33.2
7758.3335,-67.62912,33.25
7770.0,-64.12683,33.3
7781.667,-69.16159,33.350002
7793.3335,-62.91677,33.4
7805.0,-66.71967,33.45
7816.667,-78.337776,33.500004
7828.3335,-73.483055,33.550003
7840.0,-78.68419,33.600002
7851.667,-82.34227,33.65
7863.3335,-77.79122,33.7
7875.0,-79.23303,33.75
7886.667,-76.996086,33.800003
7898.3335,-90.553116,33.850002
7910.0,-98.3036,33.9
7921.667,-83.9658,33.95
7933.3335,-54.674355,34.0
7945.0,-90.14592,34.05
7956.667,-86.49154,34.100002
7968.3335,-85.40527,34.15
7980.0,-92.572716,34.2
7991.667,-78.23117,34.250004
8003.3335,-77.256546,34.300003
8015.0,-80.035965,34.350002
8026.667,-88.5847,34.4
8038.3335,-87.5275,34.45
8050.0,-81.93656,34.5
8061.667,-82.65175,34.550003
8073.3335,-97.144936,34.600002
8085.0,-79.53358,34.65
8096.667,-92.5378,34.7
8108.3335,-86.462105,34.75
8120.0,-77.11452,34.8
8131.667,-75.758835,34.850002
8143.3335,-71.43579,34.9
8155.0,-78.32399,34.95
8166.667,-53.471825,35.000004
8178.3335,-81.8622,35.050003
8190.0,-82.33353,35.100002
8201.667,-76.75706,35.15
8213.334,-80.87117,35.200005
8225.0,-82.8606,35.25
8236.667,-82.37629,35.300003
8248.334,-86.836845,35.350002
8260.0,-85.83751,35.4
8271.667,-81.990135,35.45
8283.334,-82.27192,35.500004
8295.0,-82.03239,35.55
8306.667,-79.57616,35.600002
8318.334,-92.169426,35.650005
8330.0,-84.07452,35.7
8341.667,-94.48822,35.750004
8353.334,-89.08233,35.800003
8365.0,-85.85382,35.850002
8376.667,-100.37086,35.9
8388.334,-86.32619,35.950005
8400.0,-52.857742,36.0
8411.667,-95.27523,36.050003
8423.334,-93.39336,36.100002
8435.0,-90.23305,36.15
8446.667,-87.85224,36.2
8458.334,-78.09899,36.250004
8470.0,-85.16869,36.3
8481.667,-93.706505,36.350002
8493.334,-93.00023,36.400005
8505.0,-89.22626,36.45
8516.667,-82.04674,36.500004
8528.334,-86.71748,36.550003
8540.0,-86.73347,36.600002
8551.667,-83.04739,36.65
8563.334,-91.94324,36.700005
8575.0,-88.02034,36.75
8586.667,-73.41832,36.800003
8598.334,-71.35647,36.850002
8610.0,-73.89228,36.9
8621.667,-80.060684,36.95
8633.334,-50.35939,37.000004
8645.0,-83.31959,37.05
8656.667,-88.40576,37.100002
8668.334,-95.96414,37.150005
8680.0,-87.6597,37.2
8691.667,-88.290344,37.250004
8703.334,-88.12987,37.300003
8715.0,-89.21131,37.350002
8726.667,-83.15429,37.4
8738.334,-81.31581,37.450005
8750.0,-81.4817,37.5
8761.667,-81.00788,37.550003
8773.334,-85.80344,37.600002
8785.0,-84.403145,37.65
8796.667,-84.555695,37.7
8808.334,-91.47637,37.750004
8820.0,-87.466095,37.8
8831.667,-98.88632,37.850002
8843.334,-87.409164,37.900005
8855.0,-103.525,37.95
8866.667,-51.29675,38.000004
8878.334,-83.799126,38.050003
8890.0,-81.69273,38.100002
8901.667,-87.451324,38.15
8913.334,-90.17665,38.200005
8925.0,-81.085396,38.25
8936.667,-80.0875,38.300003
8948.334,-71.109406,38.350002
8960.0,-71.45553,38.4
8971.667,-83.92799,38.45
8983.334,-90.554245,38.500004
8995.0,-82.02719,38.55
9006.667,-78.87206,38.600002
9018.334,-83.55706,38.650005
9030.0,-82.996284,38.7
9041.667,-88.52444,38.750004
9053.334,-89.9117,38.800003
9065.0,-91.6058,38.850002
9076.667,-85.21096,38.9
9088.334,-91.27414,38.950005
9100.0,-50.49704,39.0
9111.667,-82.58694,39.050003
9123.334,-80.27718,39.100002
9135.0,-93.08533,39.15
9146.667,-95.3472,39.2
9158.334,-90.18439,39.250004
9170.0,-95.75153,39.3
9181.667,-93.90126,39.350002
